Symbol,Name,Address,Sector,Industry,Full Time Employees,Description,Total ESG Risk score,Environment Risk Score,Governance Risk Score,Social Risk Score,Controversy Level,Controversy Score,ESG Risk Percentile,ESG Risk Level
DIS,Walt Disney Co,"500 South Buena Vista Street
Burbank, CA 91521
United States
818 560 1000
https://www.thewaltdisneycompany.com",Communication Services,Entertainment,"171,600","The Walt Disney Company, together with its subsidiaries, operates as an entertainment company worldwide. It operates through two segments, Disney Media and Entertainment Distribution; and Disney Parks, Experiences and Products. The company engages in the film and episodic television content production and distribution activities, as well as operates television networks under the ABC, Disney, ESPN, Freeform, FX, Fox, National Geographic, and Star brands; and studios that produces films under the Walt Disney Pictures, Twentieth Century Studios, Marvel, Lucasfilm, Pixar, and Searchlight Pictures banners. It also offers direct-to-consumer streaming services through Disney+, Disney+ Hotstar, ESPN+, Hulu, and Star+; sale/licensing of film and television content to third-party television and subscription video-on-demand services; theatrical, home entertainment, and music distribution services; staging and licensing of live entertainment events; and post-production services by Industrial Light & Magic and Skywalker Sound. In addition, the company operates theme parks and resorts, such as Walt Disney World Resort in Florida; Disneyland Resort in California; Disneyland Paris; Hong Kong Disneyland Resort; and Shanghai Disney Resort; Disney Cruise Line, Disney Vacation Club, National Geographic Expeditions, and Adventures by Disney, as well as Aulani, a Disney resort and spa in Hawaii. Further, it licenses its intellectual property to a third party for the operations of the Tokyo Disney Resort; provides consumer products, including licensing of trade names, characters, visual, literary, and other IP for use on merchandise, published materials, and games; operates a direct-to-home satellite distribution platform; sells branded merchandise through retail, online, and wholesale businesses; and develops and publishes books, comic books, and magazines. The Walt Disney Company was founded in 1923 and is based in Burbank, California.",15,0.1,6.9,7.9,Moderate,2,10th percentile,Low
DLR,Digital Realty Trust Inc,"5707 Southwest Parkway, Building 1
Suite 275
Austin, TX 78735-6213
United States
737 281 0101
https://www.digitalrealty.com",Real Estate,REIT—Specialty,"3,412","Digital Realty brings companies and data together by delivering the full spectrum of data center, colocation, and interconnection solutions. PlatformDIGITAL, the company's global data center platform, provides customers with a secure data ""meeting place"" and a proven Pervasive Datacenter Architecture (PDx) solution methodology for powering innovation and efficiently managing Data Gravity challenges. Digital Realty gives its customers access to the connected communities that matter to them with a global data center footprint of 300+ facilities in 50+ metros across 27 countries on six continents.",13,2.8,7,2.8,,0,6th percentile,Low
DLTR,Dollar Tree Inc,"500 Volvo Parkway
Chesapeake, VA 23320
United States
757 321 5000
https://www.dollartree.com",Consumer Defensive,Discount Stores,"65,025","Dollar Tree, Inc. operates discount variety retail stores. The company operates in two segments, Dollar Tree and Family Dollar. The Dollar Tree segment offers merchandise at the fixed price of $ 1.25. It provides consumable merchandise, which includes everyday consumables, such as household paper and chemicals, food, candy, health, personal care products, and frozen and refrigerated food; variety merchandise comprising toys, durable housewares, gifts, stationery, party goods, greeting cards, softlines, arts and crafts supplies, and other items; and seasonal goods that include Christmas, Easter, Halloween, and Valentine's Day merchandise. It operates stores under the Dollar Tree and Dollar Tree Canada brands, as well as distribution centers in the United States and Canada. The Family Dollar segment operates general merchandise retail discount stores that offer consumable merchandise, which comprise food and beverages, tobacco, health and personal care, household chemicals, paper products, hardware and automotive supplies, diapers, batteries, and pet food and supplies; and home products, including housewares, home décor, and giftware, as well as domestics, such as comforters, sheets, and towels. It also provides apparel and accessories merchandise comprising clothing, fashion accessories, and shoes; and seasonal and electronics merchandise that include Christmas, Easter, Halloween, and Valentine's Day merchandise, as well as personal electronics, which comprise pre-paid cellular phones and services, stationery and school supplies, and toys. The company was founded in 1986 and is based in Chesapeake, Virginia.",15,3.4,4.1,7.4,Moderate,2,10th percentile,Low
DOV,Dover Corp,"3005 Highland Parkway
Downers Grove, IL 60515
United States
630 541 1540
https://www.dovercorporation.com",Industrials,Specialty Industrial Machinery,"25,000","Dover Corporation provides equipment and components, consumable supplies, aftermarket parts, software and digital solutions, and support services worldwide. The company's Engineered Products segment provides various equipment, component, software, solution, and services that are used in aftermarket vehicle service, solid waste handling, industrial automation, aerospace and defense, industrial winch and hoist, and fluid dispensing end-market. This segment also offers manual and power clamp, rotary and linear mechanical indexer, conveyor, pick and place unit, glove port, and manipulator, as well as end-of-arm robotic gripper, slide, and end effector. Its Clean Energy & Fueling segment offers component, equipment, and software and service solution enabling safe transport of traditional and clean fuel, and other hazardous substance along with supply chain, as well as operation of convenience retail, retail fueling, and vehicle wash establishment. The company's Imaging & Identification segment provides precision marking and coding; packaging intelligence; product traceability equipment; brand protection; and digital textile printing equipment, as well as related consumable, software, and service to packaged and consumer good, pharmaceutical, industrial manufacturing, fashion and apparel, and other end-market. Its Pumps & Process Solutions segment manufactures specialty pump, connector, and flow meter, fluid connecting solution, plastics and polymer processing equipment, and engineered components for rotating and reciprocating machines. The company's Climate & Sustainability Technologies segment manufactures refrigeration system, refrigeration display case, commercial glass refrigerator and freezer door, and brazed plate heat exchanger for industrial heating and cooling, and residential climate control applications. It sells its products directly and through a network of distributors. The company was incorporated in 1947 and is headquartered in Downers Grove, Illinois.",25,7.1,5.8,12.4,Low,1,46th percentile,Medium
DOW,Dow Inc,"2211 H.H. Dow Way
Midland, MI 48674
United States
989 636 1000
https://www.dow.com",Basic Materials,Chemicals,"37,800","Dow Inc., through its subsidiaries, engages in the provision of various materials science solutions for packaging, infrastructure, mobility, and consumer applications in the United States, Canada, Europe, the Middle East, Africa, India, the Asia Pacific, and Latin America. It operates through Packaging & Specialty Plastics, Industrial Intermediates & Infrastructure, and Performance Materials & Coatings segments. The Packaging & Specialty Plastics segment provides ethylene, and propylene and aromatics products; and polyethylene, polyolefin elastomers, ethylene vinyl acetate, and ethylene propylene diene monomer rubbers for mobility and transportation, consumer, wire and cable, and construction end-markets. The Industrial Intermediates & Infrastructure segment offers purified ethylene and propylene oxides, ethylene and ethanol amines, propylene glycol and polyether polyols, aromatic isocyanates and polyurethane systems, coatings, adhesives, sealants, elastomers, and composites. This segment also provides caustic soda, and ethylene dichloride and vinyl chloride monomers; and cellulose ethers, redispersible latex powders, and acrylic emulsions. The Performance Materials and Coatings segment provides architectural paints and coatings, and industrial coatings that are used in maintenance and protective industries, wood, metal packaging, traffic markings, thermal paper, and leather; and silicon metal, siloxanes, and intermediates used as key materials in manufacturing differentiated downstream silicone products. It also engages in property and casualty insurance, as well as reinsurance business. Dow Inc. was incorporated in 2018 and is headquartered in Midland, Michigan.",,,,,,,,
DPZ,Domino S Pizza Inc,"30 Frank Lloyd Wright Drive
Ann Arbor, MI 48105
United States
734 930 3030
https://www.ir.dominos.com",Consumer Cyclical,Restaurants,"6,500","Domino's Pizza, Inc., through its subsidiaries, operates as a pizza company in the United States and internationally. The company operates through three segments: U.S. Stores, International Franchise, and Supply Chain. It offers pizzas under the Domino's brand name through company-owned and franchised stores. It also provides oven-baked sandwiches, pasta, boneless chicken and chicken wings, bread and dips side items, desserts, and soft drink products. Domino's Pizza, Inc. was founded in 1960 and is based in Ann Arbor, Michigan.",31,7.7,6.6,16.7,Moderate,2,69th percentile,High
DRI,Darden Restaurants Inc,"1000 Darden Center Drive
Orlando, FL 32837
United States
407 245 4000
https://www.darden.com",Consumer Cyclical,Restaurants,"187,384","Darden Restaurants, Inc., through its subsidiaries, owns and operates full-service restaurants in the United States and Canada. It operates under Olive Garden, LongHorn Steakhouse, Cheddar's Scratch Kitchen, Yard House, The Capital Grille, Seasons 52, Bahama Breeze, Eddie V's Prime Seafood, and Capital Burger brands. Darden Restaurants, Inc. was founded in 1968 and is based in Orlando, Florida.",28,8.4,4.6,15,Moderate,2,57th percentile,Medium
DTE,Dte Energy Company,"One Energy Plaza
Detroit, MI 48226-1279
United States
313 235 4000
https://www.dteenergy.com",Utilities,Utilities—Regulated Electric,"10,102","DTE Energy Company engages in the utility operations. The company's Electric segment generates, purchases, distributes, and sells electricity to approximately 2.3 million residential, commercial, and industrial customers in southeastern Michigan. It generates electricity through fossil-fuel, hydroelectric pumped storage, and nuclear plants, as well as wind and solar assets. This segment owns and operates approximately 697 distribution substations and approximately 451,900 line transformers. The company's Gas segment purchases, stores, transports, distributes, and sells natural gas to approximately 1.3 million residential, commercial, and industrial customers throughout Michigan; and sells storage and transportation capacity. This segment has approximately 21,000 miles of distribution mains; 1,352,000 service pipelines; and 1,316,000 active meters, as well as owns approximately 2,000 miles of transmission pipelines. Its DTE Vantage segment offers metallurgical and petroleum coke to steel and other industries; and power, steam and chilled water production, and wastewater treatment services, as well as supplies compressed air to industrial customers. Its Energy Trading segment engages in power, natural gas, and environmental marketing and trading; structured transactions; and the optimization of contracted natural gas pipeline transportation and storage positions. The company was founded in 1903 and is based in Detroit, Michigan.",30,15,5,10,Moderate,2,66th percentile,Severe
DUK,Duke Energy Corp,"526 South Church Street
Charlotte, NC 28202-1803
United States
704 382 3853
https://www.duke-energy.com",Utilities,Utilities—Regulated Electric,"27,859","Duke Energy Corporation, together with its subsidiaries, operates as an energy company in the United States. It operates through two segments, Electric Utilities and Infrastructure (EU&I) and Gas Utilities and Infrastructure (GU&I). The EU&I segment generates, transmits, distributes, and sells electricity in the Carolinas, Florida, and the Midwest; and uses coal, hydroelectric, natural gas, oil, solar and wind sources, renewables, and nuclear fuel to generate electricity. This segment also engages in the wholesale of electricity to municipalities, electric cooperative utilities, and load-serving entities. The GU&I segment distributes natural gas to residential, commercial, industrial, and power generation natural gas customers; and invests in pipeline transmission projects, renewable natural gas projects, and natural gas storage facilities. The company was formerly known as Duke Energy Holding Corp. and changed its name to Duke Energy Corporation in April 2006. The company was founded in 1904 and is headquartered in Charlotte, North Carolina.",28,14.5,4.6,8.6,Moderate,2,54th percentile,Medium
DVA,Davita Inc,"2000 16th Street
Denver, CO 80202
United States
720 631 2100
https://www.davita.com",Healthcare,Medical Care Facilities,"70,000","DaVita Inc. provides kidney dialysis services for patients suffering from chronic kidney failure in the United States. The company operates kidney dialysis centers and provides related lab services in outpatient dialysis centers. It also offers outpatient, hospital inpatient, and home-based hemodialysis services; operates clinical laboratories that provide routine laboratory tests for dialysis and other physician-prescribed laboratory tests for ESRD patients; and management and administrative services to outpatient dialysis centers. In addition, the company offers integrated care and disease management services to patients in risk-based and other integrated care arrangements; clinical research programs; physician services; and comprehensive kidney care services. Further, it engages in the provision of acute inpatient dialysis services and related laboratory services; and transplant software business. The company was formerly known as DaVita HealthCare Partners Inc. and changed its name to DaVita Inc. in September 2016. DaVita Inc. was incorporated in 1994 and is headquartered in Denver, Colorado.",23,0,8,14,Moderate,2,35th percentile,
DVN,Devon Energy Corp,"333 West Sheridan Avenue
Oklahoma City, OK 73102-5015
United States
405 235 3611
https://www.devonenergy.com",Energy,Oil & Gas E&P,"1,800","Devon Energy Corporation, an independent energy company, explores for, develops, and produces oil, natural gas, and natural gas liquids in the United States. It operates in Delaware, Anadarko, Williston, Eagle Ford, and Powder River Basin. The company was incorporated in 1971 and is headquartered in Oklahoma City, Oklahoma.",37,20.7,7.8,8.1,Moderate,2,85th percentile,High
DXC,Dxc Technology Co,"20408 Bashan Drive
Suite 231
Ashburn, VA 20147
United States
703 245 9700
https://www.dxc.technology",Technology,Information Technology Services,"130,000","DXC Technology Company, together with its subsidiaries, provides information technology services and solutions primarily in the United States, the United Kingdom, rest of Europe, Australia, and internationally. It operates in two segments, Global Business Services (GBS) and Global Infrastructure Services (GIS). The GBS segment offers a portfolio of analytics services and extensive partner ecosystem that help its customers to gain rapid insights, automate operations, and accelerate their transformation journeys; and software engineering, consulting, and data analytics solutions that enable businesses to run and manage their mission-critical functions, transform their operations, and develop new ways of doing business. It also simplifies, modernize, and accelerate mission-critical applications that support business agility and growth through applications services. In addition, this segment provides proprietary modular insurance software and platforms; and operates spectrum of insurance business process services, as well as operates bank cards, payment and lending process, and customer experiences. The GIS segment provides security services, such as IT security, operations and culture for the cloud, protecting data with a zero-trust strategy, and manage a security operation center; and cloud infrastructure and IT outsourcing services. It also delivers a consumer-like experience, centralize IT management, and support services, as well as improve the total cost of ownership. In addition, it markets and sells its products through direct sales force to commercial businesses and public sector enterprises. DXC Technology Company was founded in 1959 and is headquartered in Ashburn, Virginia.",16,1,5,10,Moderate,2,13th percentile,Negligible
DXCM,Dexcom Inc,"6340 Sequence Drive
San Diego, CA 92121
United States
858 200 0200
https://www.dexcom.com",Healthcare,Medical Devices,"7,500","DexCom, Inc., a medical device company, focuses on the design, development, and commercialization of continuous glucose monitoring (CGM) systems in the United States and internationally. The company provides its systems for use by people with diabetes, as well as for use by healthcare providers. Its products include Dexcom G6 and Dexcom G7, integrated CGM systems for diabetes management; Dexcom Share, a remote monitoring system; Dexcom Real-Time API, which enables authorized third-party software developers to integrate real-time CGM data into their digital health apps and devices for specific and permitted use cases, including non-medical device applications, medical device data analysis, integrated continuous glucose monitoring systems (iCGM) secondary display alarms, active patient monitoring, and treatment decisions; and Dexcom ONE, that is designed to replace finger stick blood glucose testing for diabetes treatment decisions. DexCom, Inc. has a collaboration and license agreement with Verily Life Sciences LLC and Verily Ireland Limited to develop blood-based or interstitial glucose monitoring products. The company markets its products directly to endocrinologists, physicians, and diabetes educators. DexCom, Inc. was incorporated in 1999 and is headquartered in San Diego, California.",24,5,8,10,,0,40th percentile,
EA,Electronic Arts Inc,"209 Redwood Shores Parkway
Redwood City, CA 94065
United States
650 628 1500
https://ea.com",Communication Services,Electronic Gaming & Multimedia,"13,400","Electronic Arts Inc. develops, markets, publishes, and distributes games, content, and services for game consoles, PCs, mobile phones, and tablets worldwide. It develops and publishes games and services across various genres, such as sports, racing, first-person shooter, action, role-playing, and simulation primarily under the Battlefield, The Sims, Apex Legends, Need for Speed, and license games from others, including FIFA, Madden NFL, UFC, and Star Wars brands. The company licenses its games to third parties to distribute and host its games. It markets and sells its games and services through digital distribution and retail channels, as well as directly to mass market retailers, specialty stores, and distribution arrangements. Electronic Arts Inc. was incorporated in 1982 and is headquartered in Redwood City, California.",10,0.1,4.7,5.5,Moderate,2,3rd percentile,Low
EBAY,Ebay Inc,"2025 Hamilton Avenue
San Jose, CA 95125
United States
408 376 7108
https://www.ebayinc.com",Consumer Cyclical,Internet Retail,"11,600","eBay Inc. operates marketplace platforms that connect buyers and sellers in the United States and internationally. The company's marketplace platform includes its online marketplace at ebay.com and the eBay suite of mobile apps. Its platforms enable users to list, buy, and sell various products. The company was founded in 1995 and is headquartered in San Jose, California.",17,1,7,9,Moderate,2,16th percentile,Negligible
ECL,Ecolab Inc,"1 Ecolab Place
Saint Paul, MN 55102-2233
United States
800 232 6522
https://www.ecolab.com",Basic Materials,Specialty Chemicals,"47,000","Ecolab Inc. provides water, hygiene, and infection prevention solutions and services in the United States and internationally. The company operates through Global Industrial, Global Institutional & Specialty, and Global Healthcare & Life Sciences segments. The Global Industrial segment offers water treatment and process applications, and cleaning and sanitizing solutions to manufacturing, food and beverage processing, transportation, chemical, metals and mining, power generation, pulp and paper, commercial laundry, petroleum, refining, and petrochemical industries. The Global Institutional & Specialty segment provides specialized cleaning and sanitizing products to the foodservice, hospitality, lodging, government and education, and retail industries. Its Global Healthcare & Life Sciences segment offers specialized cleaning and sanitizing products to the healthcare, personal care, and pharmaceutical industries, such as infection prevention and surgical solutions, and end-to-end cleaning and contamination control solutions under the Ecolab, Microtek, and Anios brand names. The company's Other segment offers pest elimination services to detect, eliminate, and prevent pests, such as rodents and insects in restaurants, food and beverage processors, educational and healthcare facilities, hotels, quick service restaurant and grocery operations, and other institutional and commercial customers. This segment also provides colloidal silica for binding and polishing applications in semiconductor, catalyst, and aerospace component manufacturing, as well as chemical industries; and products and services that manage wash process through custom designed programs, premium products, dispensing equipment, water and energy management, and reduction, as well as real time data management. It sells its products through field sales and corporate account personnel, distributors, and dealers. Ecolab Inc. was founded in 1923 and is headquartered in Saint Paul, Minnesota.",24,9,6,8,Moderate,2,40th percentile,
ED,Consolidated Edison Inc,"4 Irving Place
New York, NY 10003
United States
212 460 4600
https://www.conedison.com",Utilities,Utilities—Regulated Electric,"14,319","Consolidated Edison, Inc., through its subsidiaries, engages in the regulated electric, gas, and steam delivery businesses in the United States. It offers electric services to approximately 3.6 million customers in New York City and Westchester County; gas to approximately 1.1 million customers in Manhattan, the Bronx, parts of Queens, and Westchester County; and steam to approximately 1,530 customers in parts of Manhattan. The company also supplies electricity to approximately 0.3 million customers in southeastern New York and northern New Jersey; and gas to approximately 0.1 million customers in southeastern New York. In addition, it operates 543 circuit miles of transmission lines; 15 transmission substations; 63 distribution substations; 87,951 in-service line transformers; 3,869 pole miles of overhead distribution lines; and 2,320 miles of underground distribution lines, as well as 4,359 miles of mains and 377,741 service lines for natural gas distribution. Further, the company owns, develops, and operates renewable and energy infrastructure projects; and provides energy-related products and services to wholesale and retail customers, as well as invests in electric and gas transmission projects. It primarily sells electricity to industrial, commercial, residential, and government customers. Consolidated Edison, Inc. was founded in 1823 and is based in New York, New York.",23,7.5,6.3,9.3,Significant,3,37th percentile,Medium
EFX,Equifax Inc,"1550 Peachtree Street, NW
Atlanta, GA 30309
United States
404 885 8000
https://www.equifax.com",Industrials,Consulting Services,"14,000","Equifax Inc. operates as a data, analytics, and technology company. The company operates through three segments: Workforce Solutions, U.S. Information Solutions (USIS), and International. The Workforce Solutions segment offers services that enables customers to verify income, employment, educational history, criminal justice data, healthcare professional licensure, and sanctions of people in the United States; and employer customers with services that assist them in complying with and automating payroll-related and human resource management processes throughout the entire cycle of the employment relationship. The USIS segment provides consumer and commercial information services, such as credit information and credit scoring, credit modeling and portfolio analytics, locate, fraud detection and prevention, identity verification, and other consulting services; mortgage services; financial marketing services; identity management services; and credit monitoring products. The International segment offers information service products, which include consumer and commercial services, such as credit and financial information, and credit scoring and modeling; and credit and other marketing products and services, as well as offers information, technology, and other services to support debt collections and recovery management. The company serves customers in financial services, mortgage, retail, telecommunications, utilities, automotive, brokerage, healthcare, and insurance industries, as well as government agencies. It operates in the United States, Canada, Australia, New Zealand, India, the United Kingdom, Spain, Portugal, Argentina, Chile, Costa Rica, Dominican Republic, Ecuador, El Salvador, Honduras, Mexico, Paraguay, Peru, Uruguay, and the Republic of Ireland. The company was founded in 1899 and is headquartered in Atlanta, Georgia.",26,0,7,19,High,4,48th percentile,
EG,Everest Group Ltd,"Seon Place
4th Floor 141 Front Street PO Box HM 845
Hamilton HM 19
Bermuda

https://www.everestglobal.com",Financial Services,Insurance—Reinsurance,"2,428","Everest Group, Ltd., through its subsidiaries, provides reinsurance and insurance products in the United States, Bermuda, and internationally. The company operates through Reinsurance Operations and Insurance Operations segments. The Reinsurance Operations segment writes property and casualty reinsurance; and specialty lines of business through reinsurance brokers, as well as directly with ceding companies in the United States, Bermuda, Ireland, Canada, Singapore, Switzerland, and the United Kingdom. The Insurance Operations segment writes property and casualty insurance directly, as well as through brokers, surplus lines brokers, and general agents in the United States, Bermuda, Canada, Europe, South America, France, Germany, Spain, Canada, Chile, the United Kingdom, Ireland, and the Netherlands. The company also provides treaty and facultative reinsurance products; admitted and non-admitted insurance products; and property and casualty reinsurance and insurance coverages, including marine, aviation, surety, errors and omissions liability, directors' and officers' liability, medical malpractice, mortgage reinsurance, other specialty lines, accident and health, and workers' compensation products. In addition, it offers commercial property and casualty insurance products through wholesale and retail brokers, surplus lines brokers, and program administrators. The company was formerly known as Everest Re Group, Ltd. and changed its name to Everest Group, Ltd. in July 2023. The company was founded in 1973 and is headquartered in Hamilton, Bermuda.",,,,,,,,
EIX,Edison International,"2244 Walnut Grove Avenue
PO Box 976
Rosemead, CA 91770
United States
626 302 2222
https://www.edison.com",Utilities,Utilities—Regulated Electric,"13,388","Edison International, through its subsidiaries, generates and distributes electric power. The company supplies electricity to approximately 50,000 square mile area of southern California to residential, commercial, industrial, public authorities, agricultural, and other sectors. It also provides decarbonization and energy solutions to commercial, institutional, and industrial customers in North America and Europe. The company's transmission facilities consist of lines ranging from 55 kV to 500 kV and approximately 80 transmission substations; and distribution system consists of approximately 38,000 circuit-miles of overhead lines; approximately 31,000 circuit-miles of underground lines; and 730 substations. Edison International was founded in 1886 and is headquartered in Rosemead, California.",27,11,6,11,Significant,3,53rd percentile,
EL,Estee Lauder Companies Cl A,"767 Fifth Avenue
New York, NY 10153
United States
212 572 4200
https://www.elcompanies.com",Consumer Defensive,Household & Personal Products,"44,020","The Estée Lauder Companies Inc. manufactures, markets, and sells skin care, makeup, fragrance, and hair care products worldwide. It offers skin care products, including moisturizers, serums, cleansers, toners, body care, exfoliators, acne care and oil correctors, facial masks, and sun care products; and makeup products, such as lipsticks, lip glosses, mascaras, foundations, eyeshadows, nail polishes, and powders, as well as compacts, brushes, and other makeup tools. The company also provides fragrance products in various forms comprising eau de parfum sprays and colognes, as well as lotions, powders, creams, candles, and soaps; and hair care products that include shampoos, conditioners, styling products, treatment, finishing sprays, and hair color products, as well as sells ancillary products and services. It offers its products under the Estée Lauder, Aramis, Clinique, Lab Series, Origins, M·A·C, La Mer, Bobbi Brown Cosmetics, Aveda, Jo Malone London, Bumble and bumble, Darphin Paris, TOM FORD, Smashbox, Le Labo, Editions de Parfums Frédéric Malle, GLAMGLOW, Kilian Paris, Too Faced, Dr.Jart+, and The Ordinary brands. The company sells its products through department stores, specialty-multi retailers, upscale perfumeries and pharmacies, and salons and spas; freestanding stores; its own and authorized retailer websites; third-party online malls; stores in airports; and duty-free locations. The Estée Lauder Companies Inc. was founded in 1946 and is based in New York, New York.",26,6.9,7.7,11.3,Moderate,2,48th percentile,Medium
ELV,Elevance Health Inc,"220 Virginia Avenue
Indianapolis, IN 46204
United States
833 401 1577
https://www.elevancehealth.com",Healthcare,Healthcare Plans,"102,300","Elevance Health, Inc. operates as a health benefits company. The company operates through four segments: Commercial & Specialty Business, Government Business, CarelonRx, and Other. It supports consumers, families, and communities across the entire care journey connecting to the care, support, and resources to lead healthier lives. It serves people through a portfolio of medical, digital, pharmacy, behavioral, clinical, and care solutions. The company was formerly known as Anthem, Inc. and changed its name to Elevance Health, Inc. in June 2022. Elevance Health, Inc. was founded in 1944 and is based in Indianapolis, Indiana.",11,0,5.7,5.8,Moderate,2,4th percentile,Low
EMN,Eastman Chemical Co,"200 South Wilcox Drive
Kingsport, TN 37662
United States
423 229 2000
https://www.eastman.com",Basic Materials,Specialty Chemicals,"14,500","Eastman Chemical Company operates as a specialty materials company in the United States and internationally. The company's Additives & Functional Products segment offers hydrocarbon resins; organic acid-based solutions; amine derivative-based building blocks; metam-based soil fumigants, thiram and ziram based fungicides, and plant growth regulators; specialty coalescent, specialty and commodity solvents, paint additives, and specialty polymers; heat transfer and aviation fluids; insoluble sulfur and anti-degradant rubber additives; and performance resins. It serves transportation, personal care, wellness, food, feed, agriculture, building and construction, water treatment, energy, consumables, durables, and electronics markets. Its Advanced Materials segment provides copolyesters, cellulosic biopolymers, cellulose esters, polyvinyl butyral sheets, and window and protective films for value-added end uses in the transportation, durables, electronics, building and construction, medical and pharma, and consumables markets. The company's Chemical Intermediates segment offers methylamines and salts, and higher amines and solvents; Olefin and acetyl derivatives, ethylene, and commodity solvents; and primary non-phthalate and phthalate plasticizers, and niche non-phthalate plasticizers for industrial chemicals and processing, building and construction, health and wellness, and agrochemicals markets. Its Fibers segment provides cellulose acetate tow, triacetin, cellulose acetate flake, acetic acid, and acetic anhydride for use in filtration media primarily cigarette filters; natural and solution dyed acetate yarns for use in consumables, and health and wellness markets; and wet-laid nonwoven media, specialty and engineered papers, and cellulose acetate fibers for transportation, industrial, agriculture and mining, and aerospace markets. Eastman Chemical Company was founded in 1920 and is headquartered in Kingsport, Tennessee.",25,12,7,5,Moderate,2,43rd percentile,
EMR,Emerson Electric Co,"8000 West Florissant Avenue
PO Box 4100
Saint Louis, MO 63136
United States
314 553 2000
https://www.emerson.com",Industrials,Specialty Industrial Machinery,"85,500","Emerson Electric Co., a technology and engineering company, provides various solutions for customers in industrial, commercial, and consumer markets in the Americas, Asia, the Middle East, Africa, and Europe. The company operates through Automation Solutions, AspenTech, and Commercial & Residential Solutions segments. The Automation Solutions segment offers measurement and analytical instrumentation, industrial valves and equipment, and process control software and systems. It serves oil and gas, refining, chemicals, power generation, life sciences, food and beverage, automotive, pulp and paper, metals and mining, and municipal water supplies markets. The AspenTech segment provides asset optimization software that enables industrial manufacturers to design, operate, and maintain their operations for enhancing performance through a combination of decades of modeling, simulation, and optimization capabilities. The Commercial & Residential Solutions segment offers residential and commercial heating and air conditioning products, such as reciprocating and scroll compressors; system protector and flow control devices; standard, programmable, and Wi-Fi thermostats; monitoring equipment and electronic controls for gas and electric heating systems; gas valves for furnaces and water heaters; ignition systems for furnaces; and temperature sensors and controls. It also provides reciprocating, scroll, and screw compressors; precision flow controls; system diagnostics and controls; and environmental control systems. In addition, this segment offers air conditioning, refrigeration, and lighting control technologies, as well as facility design and product management, site commissioning, facility monitoring, and energy modeling services; and tools for professionals and homeowners. The company was incorporated in 1890 and is headquartered in Saint Louis, Missouri.",29,10.1,7,12.3,Moderate,2,61st percentile,Medium
ENPH,Enphase Energy Inc,"47281 Bayside Parkway
Fremont, CA 94538
United States
877 774 7000
https://www.enphase.com",Technology,Solar,"2,821","Enphase Energy, Inc., together with its subsidiaries, designs, develops, manufactures, and sells home energy solutions for the solar photovoltaic industry in the United States and internationally. The company offers semiconductor-based microinverter, which converts energy at the individual solar module level, and combines with its proprietary networking and software technologies to provide energy monitoring and control services. It also provides microinverter units and related accessories, an IQ gateway; IQ batteries; the cloud-based Enlighten monitoring service; storage solutions; and electric vehicle charging solutions; and design, proposal, permitting, and lead generation services. The company sells its solutions to solar distributors; and directly to large installers, original equipment manufacturers, strategic partners, and homeowners, as well as through its legacy product upgrade program or online store. Enphase Energy, Inc. was incorporated in 2006 and is headquartered in Fremont, California.",,,,,,,,
EOG,Eog Resources Inc,"1111 Bagby Street
Sky Lobby 2
Houston, TX 77002
United States
713 651 7000
https://www.eogresources.com",Energy,Oil & Gas E&P,"2,850","EOG Resources, Inc., together with its subsidiaries, explores for, develops, produces, and markets crude oil, and natural gas and natural gas liquids. Its principal producing areas are in New Mexico and Texas in the United States; and the Republic of Trinidad and Tobago. The company was formerly known as Enron Oil & Gas Company. EOG Resources, Inc. was incorporated in 1985 and is headquartered in Houston, Texas.",36,20.4,7.7,8.1,Low,1,82nd percentile,High
EPAM,Epam Systems Inc,"41 University Drive
Suite 202
Newtown, PA 18940
United States
267 759 9000
https://www.epam.com",Technology,Information Technology Services,"59,300","EPAM Systems, Inc. provides digital platform engineering and software development services worldwide. The company offers engineering services, including requirements analysis and platform selection, customization, cross-platform migration, implementation, and integration; infrastructure management services, such as software development, testing, and maintenance with private, public, and infrastructure management for application, database, network, server, storage, and systems operations management, as well as monitoring, incident notification, and resolution services; and maintenance and support services. It also provides operation solutions comprising integrated engineering practices and smart automation; and optimization solutions that include software application testing, test management, automation, and consulting services to enable customers enhance their existing software testing and quality assurance practices, as well as other testing services that identify threats and close loopholes to protect its customers' business systems from information loss. In addition, the company offers business, experience, technology, data, and technical advisory consulting services; and digital and service design solutions, which comprise strategy, design, creative, and program management services, as well as physical product development, such as artificial intelligence, robotics, and virtual reality. The company serves the financial services, travel and consumer, software and hi-tech, business information and media, life sciences and healthcare, and other industries EPAM Systems, Inc. was founded in 1993 and is headquartered in Newtown, Pennsylvania.",,,,,,,,
EQIX,Equinix Inc,"One Lagoon Drive
4th Floor
Redwood City, CA 94065-1562
United States
650 598 6000
https://www.equinix.com",Real Estate,REIT—Specialty,"12,621","Equinix (Nasdaq: EQIX) is the world's digital infrastructure company. Digital leaders harness Equinix's trusted platform to bring together and interconnect foundational infrastructure at software speed. Equinix enables organizations to access all the right places, partners and possibilities to scale with agility, speed the launch of digital services, deliver world-class experiences and multiply their value, while supporting their sustainability goals.",12,2.6,5.7,3.5,Low,1,4th percentile,Low
